feature1,feature2,feature3,target
18.0,5.2,48.0,50.0
19.0,5.3,50.0,52.0
20.0,5.4,52.0,54.0
21.0,5.5,53.0,56.0
22.0,5.6,54.0,58.0
23.0,5.7,55.0,60.0
24.0,5.8,56.0,62.0
25.0,5.9,58.0,64.0
26.0,6.0,60.0,66.0
27.0,6.1,62.0,68.0
28.0,6.2,64.0,70.0
29.0,5.5,50.0,55.0
30.0,5.6,52.0,57.0
31.0,5.7,54.0,59.0
32.0,5.8,56.0,61.0
33.0,5.9,58.0,63.0
34.0,6.0,60.0,65.0
35.0,6.1,62.0,67.0
36.0,6.2,64.0,69.0
37.0,5.4,48.0,54.0
18.0,5.3,49.0,51.0
19.0,5.4,51.0,53.0
20.0,5.5,53.0,55.0
21.0,5.6,54.0,57.0
22.0,5.7,55.0,59.0
23.0,5.8,56.0,61.0
24.0,5.9,58.0,63.0
25.0,6.0,60.0,65.0
26.0,6.1,62.0,67.0
27.0,6.2,64.0,69.0
28.0,5.4,50.0,56.0
29.0,5.5,52.0,58.0
30.0,5.6,54.0,60.0
31.0,5.7,56.0,62.0
32.0,5.8,58.0,64.0
33.0,5.9,60.0,66.0
34.0,6.0,62.0,68.0
35.0,6.1,64.0,70.0
36.0,6.2,66.0,72.0
37.0,5.3,48.0,55.0
18.0,5.4,49.0,52.0
19.0,5.5,51.0,54.0
20.0,5.6,53.0,56.0
21.0,5.7,55.0,58.0
22.0,5.8,56.0,60.0
23.0,5.9,58.0,62.0
24.0,6.0,60.0,64.0
25.0,6.1,62.0,66.0
26.0,6.2,64.0,68.0
27.0,5.4,50.0,57.0
28.0,5.5,52.0,59.0
29.0,5.6,54.0,61.0
30.0,5.7,56.0,63.0
31.0,5.8,58.0,65.0
32.0,5.9,60.0,67.0
33.0,6.0,62.0,69.0
34.0,6.1,64.0,71.0
35.0,6.2,66.0,73.0
36.0,5.3,48.0,56.0
18.0,5.5,50.0,53.0
19.0,5.6,52.0,55.0
20.0,5.7,54.0,57.0
21.0,5.8,56.0,59.0
22.0,5.9,58.0,61.0
23.0,6.0,60.0,63.0
24.0,6.1,62.0,65.0
25.0,6.2,64.0,67.0
26.0,5.4,50.0,58.0
27.0,5.5,52.0,60.0
28.0,5.6,54.0,62.0
29.0,5.7,56.0,64.0
30.0,5.8,58.0,66.0
31.0,5.9,60.0,68.0
32.0,6.0,62.0,70.0
33.0,6.1,64.0,72.0
34.0,6.2,66.0,74.0
35.0,5.3,48.0,57.0
36.0,5.4,50.0,59.0
37.0,5.5,52.0,61.0
38.0,5.6,54.0,63.0
39.0,5.7,56.0,65.0
40.0,5.8,58.0,67.0
41.0,5.9,60.0,69.0
42.0,6.0,62.0,71.0
43.0,6.1,64.0,73.0
44.0,6.2,66.0,75.0
45.0,5.3,50.0,60.0
46.0,5.4,52.0,62.0
47.0,5.5,54.0,64.0
48.0,5.6,56.0,66.0
49.0,5.7,58.0,68.0
50.0,5.8,60.0,70.0
